city,state,church,total_members,additions,losses,ruling_elders,deacons,tithes_offerings,building_fund_offering,total_contributions,other_income,total_church_income,current_expenses,building_fund_disbursed,grand_total_disbursements,per_capita_giving
Pittsburgh,PA,First Reformed Presbyterian Church,312,18,2,7,8,800462,NA,800462,NA,800462,681000,NA,839442,3090.58687258687
Beaufort,SC,First Scots Presbyterian Church,238,18,7,2,4,585326,82644,670103,12421,682524,553225,0,622733,3472.03626943005
Lauderdale-by-the-Sea,FL,Florida Coast Church,43,10,8,NA,NA,257953,NA,257953,30000,287953,207972,NA,244762,6448.825
Sturgis,SD,Foothills Community Church,176,10,11,7,6,329068,97005,539905,NA,539905,285168,148621,512208,4218.0078125
Carthage,MS,Forest Grove Presbyterian Church,43,4,0,3,2,28560,NA,28560,NA,28560,25969,NA,30516,664.186046511628
Forest Hill,MD,Forest Hill Presbyterian Church,170,14,2,3,3,325933,34733,360666,NA,360666,219558,44000,322851,2732.31818181818
Forest,MS,Forest Presbyterian Church,36,0,0,NA,NA,82746,NA,82746,NA,82746,NA,NA,10658,2298.5
Colorado Springs,CO,Forestgate Presbyterian Church,362,44,11,8,10,1121424,100,1143935,81951,1225886,659715,100,923612,3813.11666666667
Forreston,IL,Forreston Grove Church,191,8,2,6,6,123592,1000,242144,NA,242144,138948,NA,254869,1780.47058823529
Fort Worth,TX,Fort Worth Presbyterian Church,516,35,118,6,10,1454415,101447,1572712,16864,1589576,1165222,0,1428129,3632.12933025404
Indianapolis,IN,Fountain Square Presbyterian Church,163,13,2,4,1,330042,232955,570575,2547,573122,334035,640185,1021489,4423.06201550388
Santa Fe Springs,CA,Fragrance of Jesus Church,40,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonas Ridge,NC,Frank Presbyterian Church,21,0,0,2,NA,NA,NA,0,NA,0,NA,NA,0,0
Lewiston,ME,Free Grace Presbyterian Church,65,7,6,3,0,182041,NA,234880,22,234902,181869,NA,223660,4431.69811320755
Vernon,BC,Free Grace Presbyterian Church,49,3,0,2,2,109831,NA,168289,NA,168289,131903,NA,135903,5259.03125
Milwaukee,WI,Friend of Sinners Church,62,11,1,3,0,30000,NA,90000,0,90000,76050,0,87250,1698.11320754717
Jamestown,NC,Friendly Hills Church PCA,213,9,6,4,6,1002929,NA,1110545,117646,1228191,608150,NA,918549,5213.82629107981
Laurens,SC,Friendship Presbyterian Church,136,4,0,6,5,228264,34375,262639,NA,262639,213983,16348,271013,2207.05042016807
Black Mountain,NC,Friendship Presbyterian Church,39,5,0,3,NA,91145,NA,91145,6079,97224,51689,NA,74314,2604.14285714286
Greer,SC,Fulton Presbyterian Church,57,5,4,2,2,98630,0,98630,288,98918,119217,0,129865,1972.6
Ft. Walton Beach,FL,FWB International Community Church Mission,48,11,0,NA,24,110000,NA,145000,NA,145000,110000,NA,127300,3020.83333333333
Gainesville,VA,Gainesville Presbyterian Church,110,6,8,2,7,268000,NA,281000,10500,291500,260000,NA,310210,3426.82926829268
Gardena,CA,Gardena Presbyterian Church,115,0,0,3,3,390000,NA,390000,NA,390000,390000,NA,390000,4105.26315789474
Shubuta,MS,Geneva Presbyterian Church,26,0,0,2,2,12974,0,12974,10999,23973,16762,0,18496,499
Sheboygan Falls,WI,Gibbsville Church,481,19,11,6,8,568460,681756,1267100,NA,1267100,NA,NA,71750,3082.96836982968
Tenafly,NJ,Glory Community Church,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Simons Island,GA,Golden Isles Presbyterian Church,83,3,6,2,3,481351,0,642154,20537,662691,373468,9400,473168,10702.5666666667
Henrico,VA,Goochland Presbyterian Church,1,0,0,0,0,105000,0,105000,0,105000,0,0,0,105000
Stevens Point,WI,Good Hope Presbyterian,46,12,2,0,0,125928,NA,125928,119170,245098,198207,NA,199207,3703.76470588235
Benton,AL,Good Hope Presbyterian Church,16,0,0,3,0,21475,0,21475,0,21475,17656,0,20281,1342.1875
Fulton,MD,Good Hope Presbyterian Church,268,5,1,11,11,523595,106785,634950,600,635550,469790,106785,623320,2926.03686635945
St. Augustine,FL,Good News Church,1242,242,52,19,NA,2549023,NA,2652737,NA,2652737,2498176,20181,2527357,3139.33372781065
Hockessin,DE,Good News Church,207,11,6,4,5,452527,731,475397,3029,478426,403850,NA,435810,2685.85875706215
Minnetonka,MN,Good Shepherd Presbyterian,150,3,6,3,8,NA,NA,0,NA,0,NA,NA,0,0
Valparaiso,IN,Good Shepherd Presbyterian Church,112,6,10,2,4,219632,NA,243749,2966,246715,187266,NA,214075,3085.43037974684
Ocala,FL,Good Shepherd Presbyterian Church,216,8,2,5,5,554399,NA,554399,1475,555874,400847,13712,440270,3261.17058823529
St. Louis,MO,Good Shepherd Presbyterian Church,51,2,0,2,2,176662,0,192207,369009,561216,469306,NA,483360,4178.41304347826
Kalamazoo,MI,Good Shepherd Presbyterian Church,165,20,13,4,5,448878,NA,458878,NA,458878,341666,NA,416503,3955.84482758621
Athens,GA,Good Shepherd Presbyterian Church,317,51,4,6,5,487681,800,516000,40716,556716,549953,90141,653590,2366.97247706422
Florence,SC,Good Shepherd Presbyterian Church PCA,106,16,2,3,4,430812,NA,430812,NA,430812,NA,NA,0,4064.2641509434
Belmont,NC,Goshen Presbyterian Church,30,0,0,NA,NA,47877,NA,47877,NA,47877,NA,NA,1809,1595.9
Douglaston,NY,Gospel Center Church,40,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilmington Manor,DE,Gospel Church for All Nations,72,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,MO,Gospel Fellowship,67,33,1,0,0,108241,NA,108241,125301,233542,209334,NA,212334,2081.55769230769
Valencia,PA,Gospel Fellowship Presbyterian Church,433,34,7,11,9,1160009,29638,1229482,60284,1289766,665983,321960,1198162,3806.44582043344
Parsippany,NJ,Gospel Presbyterian Church,28,4,6,3,0,80763,NA,80763,NA,80763,100078,NA,103578,2884.39285714286
Oconomowoc,WI,Grace & Peace,105,11,1,3,0,481307,0,533975,0,533975,285695,0,303395,7520.77464788732
Bowling Green,KY,Grace & Peace Church,92,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Louis,MO,Grace & Peace Fellowship,216,2,3,3,2,342030,NA,479612,50664,530276,364271,2500,433321,2679.39664804469
Royersford,PA,Grace & Peace Presbyterian Church,59,0,0,NA,NA,185041,0,189488,6440,195928,159530,NA,159530,3324.35087719298
Asheville,NC,Grace & Peace Presbyterian Church,67,10,15,4,NA,208080,NA,208080,NA,208080,144761,NA,172461,5075.12195121951
Greenville,SC,Grace & Peace Presbyterian Church,533,68,42,5,10,1598974,0,1713202,22755,1735957,1018086,129358,1589753,4251.12158808933
Tulsa,OK,Grace & Peace Presbyterian Church,197,23,3,5,1,864608,300000,1175555,24578,1200133,809506,325000,1243245,6834.62209302326
Colorado Springs,CO,Grace and Peace Church,211,44,38,6,4,412000,NA,412000,NA,412000,480199,NA,521199,2134.71502590674
Philadelphia,PA,Grace and Peace Community Church,224,22,16,6,5,620000,0,620000,0,620000,650000,0,719600,3625.73099415205
Anna,TX,Grace and Peace Presbyterian Church,113,48,0,NA,3,171528,8640,204068,NA,204068,137148,0,139548,2267.42222222222
Hendersonville,NC,Grace Blue Ridge,NA,NA,NA,NA,NA,609960,5957,639020,25846,664866,685235,5957,764597,0
Omaha,NE,Grace Central Church,227,28,1,5,5,655520,4422,670782,184376,855158,459281,185218,787185,4090.13414634146
Lincoln,NE,Grace Chapel,518,21,3,6,6,1336000,4000,1390000,63000,1453000,983000,37000,1095600,3116.59192825112
Herndon,VA,Grace Christian Church,357,33,13,5,7,667873,3850,691033,336,691369,601392,NA,675749,2139.42105263158
Hancock,MD,Grace Christian Fellowship,48,0,2,NA,NA,120641,NA,120976,746,121722,99795,NA,120911,3101.94871794872
Harrisburg,NC,Grace Church,255,7,65,4,3,754041,0,1021495,66980,1088475,783443,NA,916583,4480.24122807018
Rochester,NY,Grace Church,238,17,15,4,3,469733,15118,485491,11751,497242,379015,47066,492193,2942.3696969697
Canton,GA,Grace Church,255,21,1,5,8,522270,2500,542382,6229,548611,456107,23847,524464,2725.53768844221
Buckhannon,WV,Grace Church - Buckhannon,58,2,2,NA,NA,147000,NA,167000,23000,190000,163000,NA,186500,4394.73684210526
Elizabethtown,KY,Grace Church Elizabethtown,73,6,8,4,2,202450,15000,232694,2597,235291,137113,90067,256416,4309.14814814815
Greenwich,CT,Grace Church of Greenwich,163,12,3,7,0,780850,NA,860763,NA,860763,961702,NA,1040615,7420.37068965517
San Anselmo,CA,Grace Church of Marin,201,16,3,3,NA,845000,661495,1506495,59000,1565495,842500,NA,885000,8511.27118644068
Savannah,GA,Grace Church of the Islands,126,5,5,3,3,464687,210,485997,6209,492206,370078,0,426628,4584.87735849057
Layton,UT,Grace Church of Utah,154,20,9,4,3,427865,NA,427865,498,428363,323336,NA,356997,3595.50420168067
Dover,DE,Grace Church PCA,369,29,7,7,5,898939,17180,1055371,36746,1092117,736230,60699,926953,3810.0036101083
Schererville,IN,Grace Church PCA,271,10,3,3,2,308000,100000,412800,NA,412800,248000,100000,355500,2332.20338983051
Fremont,NE,Grace Church PCA,44,11,1,1,5,219170,NA,219170,6545,225715,162876,NA,171935,4981.13636363636
Ft. Collins,CO,Grace Church Presbyterian,245,28,3,6,1,441401,7275,468209,29694,497903,342659,0,390586,2558.51912568306
Stamford,CT,Grace Church Stamford,70,0,0,NA,NA,390436,NA,390436,NA,390436,301654,NA,304204,6100.5625
Bluffton,SC,Grace Coastal Presbyterian Church,110,0,0,NA,NA,82864,NA,82864,NA,82864,NA,NA,13547,753.309090909091
Yulee,FL,Grace Community Church,140,15,8,3,NA,342076,9010,352966,399,353365,269626,12230,326455,4412.075
Charlottesville,VA,Grace Community Church,190,11,5,6,5,733312,0,763312,0,763312,568103,0,656629,4956.57142857143
Mobile,AL,Grace Community Church,351,16,15,7,8,569575,833073,1452586,2990,1455576,594054,72914,728658,6399.05726872247
Macon,GA,Grace Community Church,38,0,0,2,0,96833,0,96908,431,97339,94981,0,99606,2550.21052631579
Bridgewater,NJ,Grace Community Church,61,3,0,2,6,266000,NA,266000,30000,296000,277424,NA,277424,5215.6862745098
Buford,GA,Grace Community Church,95,13,5,4,0,405167,5200,487113,42745,529858,410499,110799,560055,6409.38157894737
Cordova,TN,Grace Community Church PCA,190,13,8,3,5,591351,0,591351,2080,593431,501525,3000,556231,4768.95967741936
Fort Worth,TX,Grace Community Presbyterian Church,378,31,33,7,10,807747,NA,812292,3125,815417,568217,0,650448,2562.43533123028
Ashland,VA,Grace Community Presbyterian Church,275,17,17,6,7,531436,10959,580045,17086,597131,401647,5751,518352,2544.05701754386
Palm Harbor,FL,Grace Community Presbyterian Church,72,10,1,2,4,211873,3050,238390,49210,287600,178616,6498,199120,3611.9696969697
Lyons,GA,Grace Community Presbyterian Church,73,0,0,NA,NA,225000,NA,225000,NA,225000,215000,NA,243000,3461.53846153846
Bremerton,WA,Grace Community Presbyterian Church,32,0,0,NA,NA,190567,NA,190567,NA,190567,162906,NA,174301,5955.21875
Trenton,GA,Grace Community Trenton,174,23,7,4,7,174690,NA,184690,NA,184690,137485,NA,167059,1338.33333333333
Bloomington,MN,Grace Covenant Church,84,7,3,3,2,259312,NA,269759,13749,283508,240511,NA,267396,4087.25757575758
Las Cruces,NM,Grace Covenant Church,113,8,0,5,6,316472,11000,347815,NA,347815,NA,NA,14222,3078.00884955752
Hickory,NC,Grace Covenant Church,114,10,6,5,5,299752,NA,327771,NA,327771,246731,NA,305663,3121.62857142857
Grand Island,NE,Grace Covenant Church,98,12,1,3,2,221670,0,225693,2175,227868,177071,0,213325,3368.55223880597
Dallas,GA,Grace Covenant Church - PCA,243,9,34,5,6,242900,9800,266500,2500,269000,319400,0,404200,1586.30952380952
Williamsburg,VA,Grace Covenant Presbyterian Church,386,27,84,6,8,776533,NA,912785,24694,937479,423413,NA,611970,3115.30716723549
Blacksburg,VA,Grace Covenant Presbyterian Church,252,25,27,8,5,523081,NA,687795,27950,715745,519534,29931,642117,3438.975
Athens,AL,Grace Covenant Presbyterian Church,39,0,0,NA,NA,175616,NA,175616,NA,175616,169603,NA,178603,5017.6
Hilliard,FL,Grace Covenant Presbyterian Church,98,12,17,3,4,NA,NA,0,NA,0,NA,NA,0,0
Freeport,IL,Grace Fellowship Church,115,2,0,5,2,185023,256499,443417,1055,444472,175572,64232,267804,4524.66326530612
Clanton,AL,Grace Fellowship Presbyterian Church,149,27,4,5,5,305783,498621,806649,37310,843959,357407,11600,420955,7075.86842105263
Middlesboro,KY,Grace Fellowship Presbyterian Church,25,0,10,2,NA,24067,NA,24067,NA,24067,23842,NA,30842,1203.35
Foley,AL,Grace Fellowship Presbyterian Church,79,5,7,5,6,150418,NA,176054,39,176093,215321,NA,249595,2479.6338028169
Albertville,AL,Grace Fellowship Presbyterian Church,136,17,18,6,8,470863,NA,470863,12000,482863,605436,NA,726941,4204.13392857143
Tryon,NC,Grace Foothills,46,0,0,NA,NA,143741,NA,144017,NA,144017,104355,NA,118251,3892.35135135135
Fresno,CA,Grace Fresno Presbyterian Church,86,12,15,4,4,175389,NA,187389,NA,187389,153030,21000,176030,2839.22727272727
Gatineau,QC,Grace Gatineau Mission Church,19,4,4,0,0,15000,NA,15000,160000,175000,NA,NA,500,1363.63636363636
Lawrenceville,GA,Grace Han-Mee Presbyterian Mission,40,0,15,1,11,38400,1600,40000,0,40000,36800,2400,40000,1000
Boone,NC,Grace Highlands Presbyterian Church,70,10,4,3,3,232997,NA,232997,1018,234015,113511,NA,135011,4017.18965517241
Mills River,NC,Grace Mills River,621,33,9,13,16,1343433,12600,1581282,84730,1666012,1328034,18158,1633365,3415.29589632829
Columbiana,AL,Grace on Main PCA,179,31,1,4,4,194574,0,207093,2380,209473,195552,18000,231533,1500.67391304348
Pasadena,CA,"Grace Pasadena Church, Inc.",147,20,16,4,NA,560909,NA,818383,19544,837927,739004,NA,828728,9516.08139534884
Danville,KY,Grace PCA,171,0,0,NA,NA,770084,NA,770084,NA,770084,672571,NA,927509,5833.9696969697
Severn,MD,Grace Point Presbyterian Church,121,4,1,1,2,175618,NA,176548,13208,189756,170456,NA,209331,1839.04166666667
Irmo,SC,Grace Point Presbyterian Church,406,64,26,12,5,839592,572604,1464092,70542,1534634,595947,114765,802884,4195.10601719198
Spartanburg,SC,Grace Presbyterian Church,191,25,7,5,9,415989,191074,607166,2604,609770,283545,467640,779385,4336.9
Lawrence,KS,Grace Presbyterian Church,673,47,27,10,10,1462650,189620,1677146,48173,1725319,1155936,223619,1606134,2492.04457652303
Mt. Vernon,WA,Grace Presbyterian Church,149,16,5,3,2,271069,0,303969,131,304100,297851,0,314370,3070.39393939394
Mount Laurel,NJ,Grace Presbyterian Church,242,24,6,6,7,581754,NA,583064,59680,642744,593548,NA,692574,2944.76767676768
Chesapeake,VA,Grace Presbyterian Church,173,10,25,3,5,306602,16341,322943,6129,329072,300248,NA,328892,2522.9921875
Yorba Linda,CA,Grace Presbyterian Church,138,19,23,3,6,652751,0,652751,257466,910217,444388,NA,777199,5676.09565217391
Watertown,NY,Grace Presbyterian Church,38,13,5,0,0,91152,31400,123464,NA,123464,72811,NA,72811,4409.42857142857
Reno,NV,Grace Presbyterian Church,61,16,0,0,NA,166741,0,193348,635,193983,189388,NA,190638,3169.6393442623
Stuart,FL,Grace Presbyterian Church,102,0,0,NA,NA,157461,NA,157461,NA,157461,NA,NA,93506,1543.73529411765
Fort Payne,AL,Grace Presbyterian Church,205,37,2,4,5,530000,2400,532400,NA,532400,434800,0,584566,2877.83783783784
Indianapolis,IN,Grace Presbyterian Church,183,11,8,4,4,404855,NA,421805,NA,421805,359424,NA,448196,3147.79850746269
Ocala,FL,Grace Presbyterian Church,100,13,94,3,4,483899,NA,499275,7518,506793,402114,0,434263,5426.90217391304
Peoria,IL,Grace Presbyterian Church,1411,92,327,52,49,4298407,75812,7642522,152821,7795343,3435122,485491,6398033,5416.38695960312
Metairie,LA,Grace Presbyterian Church,106,5,2,2,9,210368,0,236593,12099,248692,213323,0,230003,3113.06578947368
Byram,MS,Grace Presbyterian Church,14,2,1,1,1,52486,NA,60073,0,60073,73296,0,78305,4290.92857142857
Baton Rouge,LA,Grace Presbyterian Church,67,9,1,3,2,157730,NA,219115,31203,250318,169714,NA,185664,3270.37313432836
Cedartown,GA,Grace Presbyterian Church,51,8,7,2,0,84000,NA,84000,NA,84000,71100,NA,74100,1647.05882352941
Dalton,GA,Grace Presbyterian Church,217,11,4,7,3,611273,0,614972,0,614972,664728,0,734130,3416.51111111111
Aiken,SC,Grace Presbyterian Church,86,18,5,3,2,172918,6000,182983,NA,182983,50005,NA,72636,2999.72131147541
Lexington,VA,Grace Presbyterian Church,296,31,11,7,8,752415,4095,762605,4313,766918,563769,NA,607019,3258.99572649573
Conway,SC,Grace Presbyterian Church,55,0,1,4,2,141933,0,142183,5683,147866,93778,0,125082,3159.62222222222
Shreveport,LA,Grace Presbyterian Church,179,7,7,3,5,263924,1528,265952,NA,265952,213876,NA,229576,1984.71641791045
Carbondale,IL,Grace Presbyterian Church,34,0,3,1,NA,62000,NA,62000,NA,62000,NA,NA,0,2695.65217391304
Grenada,MS,Grace Presbyterian Church,53,0,0,NA,NA,86806,NA,86806,NA,86806,NA,NA,3368,1637.84905660377
McAllen,TX,Grace Presbyterian Church,66,11,4,3,1,11816926,NA,11816926,0,11816926,47192,0,50342,218831.962962963
Cookeville,TN,Grace Presbyterian Church,117,0,0,NA,NA,317914,NA,317914,NA,317914,266455,NA,304919,3346.46315789474
Kernersville,NC,Grace Presbyterian Church,160,13,7,6,4,377414,26110,417610,4653,422263,317205,NA,370127,3340.88
Palm Coast,FL,Grace Presbyterian Church,46,0,0,NA,NA,119144,NA,119144,NA,119144,NA,NA,4930,2590.08695652174
Fuquay-Varina,NC,Grace Presbyterian Church,77,23,1,1,1,120835,NA,120835,NA,120835,99490,NA,107390,1678.26388888889
Davidsonville,MD,Grace Presbyterian Church,191,14,11,8,7,768810,36030,842870,38694,881564,551652,NA,674147,4735.22471910112
The Woodlands,TX,Grace Presbyterian Church,413,54,0,7,0,120100,NA,120100,NA,120100,NA,NA,0,376.489028213166
Blairsville,GA,Grace Presbyterian Church,280,25,19,6,6,1121984,0,1176950,17610,1194560,793084,0,919040,4883.60995850622
Pardeeville,WI,Grace Presbyterian Church,133,12,9,5,11,364644,4265,394059,NA,394059,261610,54000,403830,2962.84962406015
Lake Suzy,FL,Grace Presbyterian Church,74,11,16,3,NA,199158,5715,213109,NA,213109,172446,NA,205761,2879.85135135135
Troy,TN,Grace Presbyterian Church,85,16,0,5,2,150305,NA,150305,6880,157185,105709,NA,112684,2210.36764705882
Sioux Falls,SD,Grace Presbyterian Church,141,27,13,4,3,373831,14010,394105,NA,394105,NA,NA,37212,4378.94444444444
Jasper,TN,Grace Presbyterian Church,74,9,5,3,4,176890,105300,342013,245,342258,202280,0,219212,5182.01515151515
Sierra Vista,AZ,Grace Presbyterian Church,166,25,12,3,4,300899,NA,308044,NA,308044,61032,NA,91236,2154.15384615385
King George,VA,Grace Presbyterian Church,126,4,5,3,1,314759,39538,356044,9255,365299,211488,42223,325807,3956.04444444444
Water Mill,NY,Grace Presbyterian Church,133,2,0,NA,NA,826955,71242,898197,NA,898197,750975,NA,787132,8165.42727272727
Waxhaw,NC,Grace Presbyterian Church,122,12,2,3,1,343040,116500,459540,52,459592,25347,NA,105023,4786.875
Stillwater,OK,Grace Presbyterian Church,136,19,11,2,3,308969,NA,314825,NA,314825,276638,NA,295687,2942.28971962617
St. Charles,MO,Grace Presbyterian Church,200,22,24,5,7,522030,2000,541525,10247,551772,379106,151103,560459,3322.23926380368
Duluth,MN,Grace Presbyterian Church,43,7,6,1,0,136146,NA,141646,NA,141646,109945,NA,112567,4569.22580645161
Douglasville,GA,Grace Presbyterian Church,234,21,21,8,8,703511,NA,709588,NA,709588,635534,NA,697834,3715.12041884817
Norwell,MA,Grace Presbyterian Church - South Shore,137,16,1,5,1,278088,404815,688406,13127,701533,295904,NA,318361,6815.90099009901
Springfield,MA,Grace Presbyterian Church - Springfield,30,2,3,1,1,104999,NA,110999,NA,110999,100000,NA,106500,4439.96
Worcester,MA,Grace Presbyterian Church - Worcester,69,5,2,2,1,138423,NA,184987,NA,184987,164750,NA,178550,3135.37288135593
Jackson,TN,Grace Presbyterian Church at Jackson,97,9,2,2,0,NA,NA,0,NA,0,NA,NA,0,0
Starkville,MS,Grace Presbyterian Church at Starkville,210,13,4,5,11,517565,NA,517565,NA,517565,448752,NA,486302,2782.60752688172
Dearborn,MI,Grace Presbyterian Church of Dearborn,73,34,1,0,0,NA,NA,0,NA,0,NA,NA,0,0
Palo Alto,CA,Grace Presbyterian Church of Silicon Valley,497,62,6,7,5,0,0,0,0,0,0,0,0,0
Palo Alto,CA,Grace Presbyterian Church of Silicon Valley,497,62,6,7,5,0,0,0,0,0,0,0,0,0
Winnetka,IL,Grace Presbyterian Church of the North Shore,381,32,0,3,0,1999790,1222399,3222189,74665,3296854,1893258,393511,2519769,12345.5517241379
Hudson,OH,Grace Presbyterian Church of the Western Reserve,123,5,10,5,5,405904,85850,505815,0,505815,48924,0,110878,4398.39130434783
Washington,DC,"Grace Presbyterian Church of Washington, DC",714,41,3,10,11,2623013,NA,3157756,87562,3245318,2340446,0,2644196,6060.95201535509
Temecula,CA,"Grace Presbyterian Church, Fallbrook",28,6,3,2,1,140000,NA,140000,NA,140000,118000,NA,131100,5000
Park Hills,MO,Grace Presbyterian Fellowship,35,5,3,2,1,90575,NA,126575,NA,126575,126575,NA,132342,5273.95833333333
Glen Rock,NJ,Grace Redeemer Church,549,37,26,7,8,2226871,NA,2620905,34175,2655080,2120577,403727,2911492,6315.43373493976
Crestview,FL,Grace Redeemer PCA,52,1,4,2,0,8483439,NA,8484022,NA,8484022,102719,0,103919,353500.916666667
Hagerstown,MD,Grace Reformed Fellowship,99,1,5,2,4,147220,350,155584,3601,159185,NA,NA,18636,2393.6
Relay,MD,Grace Reformed Presbyterian Church,63,0,2,1,1,120000,NA,120000,NA,120000,NA,NA,18000,2181.81818181818
